,,RANKING,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Equality & non-discrimination,Family,Family,Family,Family,Family,Family,Family,Family,Family,Family,Family,Hate crime & hate speech,Hate crime & hate speech,Hate crime & hate speech,Hate crime & hate speech,Hate crime & hate speech,Hate crime & hate speech,Hate crime & hate speech,Hate crime & hate speech,Legal gender recognition,Legal gender recognition,Legal gender recognition,Legal gender recognition,Legal gender recognition,Legal gender recognition,Legal gender recognition,Legal gender recognition,Legal gender recognition,Legal gender recognition,Legal gender recognition,Legal gender recognition,Legal gender recognition,Legal gender recognition,Legal gender recognition,Intersex bodily integrity,Intersex bodily integrity,Intersex bodily integrity,Intersex bodily integrity,Civil society space,Civil society space,Civil society space,Civil society space,Civil society space,Civil society space,Asylum,Asylum,Asylum,Asylum,Asylum,Asylum
,,,Constitution (sexual orientation),Employment (sexual orientation),Goods & services (sexual orientation),Education (sexual orientation),Health (sexual orientation),Conversion practices ban (sexual orientation),Equality body mandate (sexual orientation),Equality action plan (sexual orientation),Constitution (gender identity),Employment (gender identity),Goods & services (gender identity),Education (gender identity),Health (gender identity),Conversion practices ban (gender identity),Equality body mandate (gender identity),Equality action plan (gender identity),Law (gender expression),Constitution (sex characteristics),Employment (sex characteristics),Goods & services (sex characteristics),Education (sex characteristics),Health (sex characteristics),Equality body mandate (sex characteristics),Equality action plan (sex characteristics),Blood donations,Marriage equality,Registered partnership (similar rights to marriage),Registered partnership (limited rights),Cohabitation,No constitutional limitation on marriage,Joint adoption,Second-parent adoption,Automatic co-parent recognition,Medically assisted insemination (couples),Medically assisted insemination (singles),Recognition of trans parenthood,Hate crime law (sexual orientation),Hate speech law (sexual orientation),Policy tackling hatred (sexual orientation),Hate crime law (gender identity),Hate speech law (gender identity),Policy tackling hatred (gender identity),Hate crime law (intersex),Policies tackling hatred (intersex),No legal framework making legal gender recognition impossible,Existence of legal measures,Existence of administrative procedures,Name change,"No age restriction, Name change",Self-determination,Non-binary recognition,No 'Gender Identity Disorder' diagnosis/psychological opinion required,No compulsory medical intervention required,No compulsory surgical intervention required,No compulsory sterilisation required,No compulsory divorce required,No age restriction,Legal gender recognition procedures exist for minors,Depathologisation,Prohibition of medical intervention without informed consent (intersex),Universality of prohibition of medical interventions,Existence of effective monitoring mechanism,Access to justice for victims and reparations,"Public event held, no state obstruction of freedom of assembly (last 3 years)","Public event held, there is enough protection (last 3 years)","Associations operate, no state obstruction of freedom association (last 3 years)",LGBTI human rights defenders are not at risk,No laws limiting external funding,No laws limiting freedom of expression (national/local),Asylum law (sexual orientation),Other positive measures (sexual orientation),Asylum law (gender identity),Other positive measures (gender identity),Asylum law (intersex),Other positive measures (intersex)
,,,"0,16%","1,10%","1,10%","1,10%","1,10%","0,80%","0,78%","0,88%","0,16%","1,10%","1,10%","1,10%","1,10%","0,80%","0,78%","0,88%","1,83%","0,16%","1,10%","1,10%","1,10%","1,10%","0,78%","0,88%","0,91%","3,75%","3,00%","2,00%","1,00%","0,75%","3,00%","1,75%","1,75%","2,00%","2,00%","2,50%","2,43%","2,43%","2,28%","2,43%","2,43%","2,28%","2,43%","2,28%","0,75%","1,50%","1,00%","1,00%","0,15%","2,00%","1,00%","1,75%","1,15%","1,15%","1,70%","1,05%","1,00%","0,30%","2,00%","2,50%","0,50%","1,00%","1,00%","1,50%","1,50%","1,50%","1,50%","1,50%","1,50%","1,50%","1,50%","1,50%","1,50%","1,50%","1,50%"
AL,Albania,"36,38",0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0
AD,Andorra,"43,23",1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
AM,Armenia,"9,16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
AT,Austria,"49,63",1,1,0.8888888889,0.8888888889,0.8888888889,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0
AZ,Azerbaijan,"2,25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BY,Belarus,"11,16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,"78,47",0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
BA,Bosnia & Herzegovina,"40,25",0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0.6666666667,0,0,0,0,1,0,0,0,0,0,0,1,0.3333333333,0,1,0.3333333333,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666667,0.6666666667,1,1,1,1,0,0,0,0,0,0
BG,Bulgaria,"23,22",0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
HR,Croatia,"50,07",0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0
CY,Cyprus,"34,62",0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0
CZ,Czechia,"29,51",0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0
DK,Denmark,"76,35",0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0
